P,SFT,W,P,S,B,F,G,T7,T3,U,Fi
7b33b29d-14f4-4ffc-83ff-b9765b684620,0.06,0.0,0.42857142857142855,0.5714285714285714,6.0,4.142857142857143,1.0,31.505714285714287,31.54,0,4.5
237c2d02-430b-4dbe-8100-dd27f667ed6d,0.15,0.25,0.25,0.5,2.75,4.0,1.0,31.385,31.426666666666666,0,4.5
4e7de0a2-9919-4c1d-bf41-5bd64c1c1dc7,0.03,0.14285714285714285,0.2857142857142857,0.8571428571428571,1.4285714285714286,3.0,1.0,31.568571428571428,31.376666666666665,2,4.5
fa845420-565f-4f6e-906f-8cd26d9c31ad,0.28,0.14285714285714285,0.14285714285714285,0.2857142857142857,3.142857142857143,5.0,1.0,31.882857142857144,31.836666666666666,3,4.5
48630fc5-c187-4880-a619-f5c11221e62e,0.00,0.2857142857142857,0.2857142857142857,0.2857142857142857,6.142857142857143,4.0,1.0,31.59,31.673333333333332,1,4.5
a9af0847-c575-4515-9628-2f8e352bb9c1,0.55,0.2,0.2,0.2,6.2,5.8,1.0,31.962,32.166666666666664,0,4.5
9c4f8ea4-54d1-48a5-a9b9-fba49805bac2,0.69,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.285714285714286,5.428571428571429,1.0,32.004285714285714,31.906666666666666,0,4.5
e625599e-4653-4e12-8b6a-7fe6bcf0a8b4,0.51,0.2857142857142857,0.5714285714285714,0.5714285714285714,2.5714285714285716,3.4285714285714284,3.6666666666666665,31.23857142857143,31.336666666666666,1,4.5
8c139d50-6659-47f0-a94f-3d67f6d7b484,0.47,0.14285714285714285,0.14285714285714285,0.2857142857142857,5.0,4.857142857142857,3.5,31.487142857142857,31.56,1,4.5
4e1de770-1167-4597-b195-4dd79384b6d5,0.51,0.14285714285714285,0.2857142857142857,0.42857142857142855,5.571428571428571,4.0,3.4,31.41,31.36,1,4.5
3568b9eb-f949-4b80-a8ef-6bb29ec47116,0.57,0.14285714285714285,0.42857142857142855,0.7142857142857143,3.857142857142857,3.142857142857143,4.0,31.312857142857144,31.356666666666666,0,4.5
8123d568-376d-4fd7-8de6-b86aac2409c7,0.00,0.2857142857142857,0.5714285714285714,0.5714285714285714,4.428571428571429,3.2857142857142856,3.25,31.114285714285714,30.906666666666666,1,4.5
449f1c56-07a2-4223-8e50-3d0772c4f4c6,0.55,0.2857142857142857,0.2857142857142857,0.5714285714285714,4.285714285714286,4.0,3.6,31.225,31.315,1,4.5
12690c52-8d9f-400f-8ad0-dd24a037c7ef,0.09,0.42857142857142855,0.5714285714285714,0.5714285714285714,2.5714285714285716,3.2857142857142856,3.6,30.997142857142858,31.336666666666666,1,4.5
dea1f62e-922e-46ae-aef4-587e4679165c,0.42,0.2857142857142857,0.2857142857142857,0.2857142857142857,5.428571428571429,4.142857142857143,2.8,31.31714285714286,31.136666666666667,1,4.5
435563d1-4c21-486f-a210-8e5568890184,0.33,0.14285714285714285,0.42857142857142855,0.7142857142857143,6.142857142857143,2.7142857142857144,1.0,31.295714285714286,31.233333333333334,2,4.5
c3b8f2b5-9574-4c17-b227-c76636eae1f1,0.62,0.0,0.14285714285714285,0.2857142857142857,4.142857142857143,5.714285714285714,2.25,31.67,31.47,1,4.5
db10b04e-bcb0-49db-83d4-a3cf3b706b5c,0.12,0.14285714285714285,0.2857142857142857,0.2857142857142857,4.428571428571429,4.428571428571429,2.0,31.69857142857143,31.77,1,4.5
fedb516b-2396-4766-9a88-6e8ffd5a7200,0.55,0.0,0.14285714285714285,0.2857142857142857,5.142857142857143,4.857142857142857,2.5,31.61,31.65,2,4.5
c0524dec-1eb7-4795-8bb7-9c73190a1efb,0.68,0.2857142857142857,0.42857142857142855,0.5714285714285714,4.714285714285714,3.7142857142857144,1.25,31.60142857142857,31.613333333333333,1,4.5
a0651f07-3f81-42b1-aa28-bc4cd7f12ace,0.87,0.14285714285714285,0.14285714285714285,0.14285714285714285,4.714285714285714,4.714285714285714,1.75,31.9,31.89666666666667,1,4.5
8a4d683b-663f-4d9b-aac0-ef0d1ff09acc,0.00,0.14285714285714285,0.2857142857142857,0.2857142857142857,3.0,5.0,1.4285714285714286,31.385714285714286,31.633333333333333,0,4.5
5c554e6b-7eac-4607-85df-f73958af851c,0.66,0.0,0.0,0.0,7.2,7.8,2.0,31.898,31.706666666666667,2,4.5
6406a744-05b3-4776-9fd9-a5686bc28195,0.03,0.0,0.14285714285714285,0.2857142857142857,2.7142857142857144,4.857142857142857,3.25,31.224285714285713,31.27,3,4.5
6ee1f841-dcdd-4892-b90e-5d9f31c8faea,0.16,0.0,0.0,0.0,5.571428571428571,5.428571428571429,3.6666666666666665,31.31142857142857,31.4,3,4.5
7ea15c47-0504-43c4-bc3b-637f07d5b0d5,0.29,0.0,0.42857142857142855,0.7142857142857143,5.571428571428571,3.2857142857142856,2.0,31.39,31.383333333333333,2,4.5
6fec9589-869f-420b-8dfb-aec5fbbc2455,0.51,0.0,0.0,0.14285714285714285,4.571428571428571,5.857142857142857,3.5,31.546666666666667,31.71,3,4.5
ebd6b8c7-ff58-4c19-bc5c-f9e86fd238a7,0.13,0.0,0.0,0.0,5.166666666666667,4.833333333333333,3.5,31.071666666666665,31.043333333333333,3,4.5
8f4fb01a-68be-41f9-8670-5b1fb3c21651,0.03,0.14285714285714285,0.2857142857142857,0.42857142857142855,4.571428571428571,4.142857142857143,1.6,31.44142857142857,31.093333333333334,0,4.5
5a29bb57-5e91-4902-a89b-5e95f9b5c030,0.00,0.0,0.14285714285714285,0.42857142857142855,5.571428571428571,4.285714285714286,2.5,31.46857142857143,31.823333333333334,2,4.5
3f7b9f90-58bc-4849-a8a9-180a4cd579b7,0.07,0.14285714285714285,0.42857142857142855,0.42857142857142855,2.5714285714285716,3.5714285714285716,1.2,31.595714285714287,31.47,1,4.5
15c44a3b-8ec7-4e73-8e9f-fc91da23a945,0.00,0.3333333333333333,0.3333333333333333,0.5,4.0,3.0,4.0,30.926666666666666,31.386666666666667,3,4.5
