PID,SFT,W,P,S,B,F,G,T7,T3,U,Fi,BW,BP,BS
ff9971ba-ea26-46e3-b8c0-175cd38c9bc4,0.00,0.0,0.0,0.0,3.7142857142857144,5.142857142857143,5.0,30.678571428571427,30.82,3,4,0,0,0
537f9e9f-2042-44f8-a6d4-82c4940bf424,0.12,0.14285714285714285,0.0,0.0,4.285714285714286,2.857142857142857,3.1666666666666665,30.44142857142857,30.453333333333333,0,5,0,0,0
747b7d5b-0029-41f4-a991-0a8c3cea78e6,0.15,0.0,0.0,0.0,4.0,5.0,4.0,30.92142857142857,30.826666666666668,0,6,0,0,0
e4a78891-806d-4c5d-ab88-5cabb2ba48f0,0.24,0.0,0.0,0.14285714285714285,3.2857142857142856,2.7142857142857144,3.142857142857143,30.49142857142857,30.586666666666666,0,7,0,0,0
0e3333ad-0e2c-4257-b0ba-cb1940a1a4dc,0.56,0.0,0.0,0.0,2.4,4.0,4.6,30.484,30.586666666666666,1,2,0,0,0
2f46bc78-e052-4d27-9d2b-aad61c26f9e5,0.57,0.14285714285714285,0.0,0.0,5.571428571428571,5.428571428571429,4.285714285714286,31.062857142857144,31.69333333333333,0,3,0,0,0
49532e17-627e-4d47-aff9-d68c865dde10,0.28,0.0,0.0,0.0,4.0,4.571428571428571,4.428571428571429,30.66857142857143,30.73,0,4,0,0,0
5dc818b7-eb82-45f8-b4e5-01a9d37334f0,0.40,0.0,0.0,0.0,5.857142857142857,3.7142857142857144,4.857142857142857,30.57,30.65,3,5,0,0,0
31b119a6-a62b-4ada-a08e-9cedfa3667a4,0.60,0.0,0.0,0.0,6.571428571428571,4.0,2.7142857142857144,30.748571428571427,30.613333333333333,0,6,0,0,0
f083574e-27f4-4d08-9316-c0d9dfa2db32,0.61,0.0,0.0,0.0,4.428571428571429,5.285714285714286,4.857142857142857,30.61857142857143,30.88,2,7,0,0,0
7fb2c543-aa12-445a-80be-f32cd3b55c42,0.00,0.0,0.14285714285714285,0.0,5.142857142857143,3.2857142857142856,3.142857142857143,30.685714285714287,30.116666666666667,0,8,0,0,0
173bed32-5d8b-4d48-887e-d5aba3f66cad,0.75,0.0,0.0,0.0,3.7142857142857144,4.428571428571429,2.6666666666666665,30.912857142857142,30.76,0,2,0,0,0
8215701a-a358-48a7-a665-33314c8fa5d3,0.00,0.0,0.0,0.0,3.7142857142857144,3.857142857142857,4.0,30.44,30.68,3,4,0,0,0
e5efeac0-85f4-477b-afe8-e37568dba129,0.53,0.0,0.0,0.0,4.0,4.857142857142857,4.428571428571429,30.60857142857143,30.81,2,5,0,0,0
57899f91-5970-4ffb-aaa0-1b3ba3abfcd3,0.31,0.0,0.0,0.0,4.142857142857143,4.571428571428571,4.571428571428571,30.365714285714287,30.526666666666667,3,6,0,0,0
ef33e5a5-91b1-4d0f-879b-736fa1b15ab5,0.59,0.0,0.0,0.0,3.142857142857143,3.7142857142857144,3.142857142857143,30.798571428571428,30.903333333333332,0,7,0,0,0
24513c19-a0ba-4d39-abd0-7fc7e085a250,0.29,0.0,0.0,0.0,5.0,4.571428571428571,4.428571428571429,30.51142857142857,30.486666666666668,1,8,0,0,0
c699dd59-bb10-4454-9ada-1509e62c619f,0.00,0.0,0.16666666666666666,0.0,3.5,2.8333333333333335,0.8,30.588333333333335,30.313333333333333,1,1,0,0,0
